# region_id,E1,E2,E3,nu12,nu13,nu23,G12,G13,G23,p10,p11,p12,density,conductivity,expansion,specificHeat,depvar
073,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
074,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
075,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
076,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
077,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
078,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
079,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
080,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
081,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
082,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
083,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
084,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
085,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
086,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
087,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
088,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
089,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
090,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
091,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
092,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
093,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
094,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
095,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
096,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
097,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
098,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
099,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
100,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
101,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
102,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
103,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
104,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
105,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
106,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
107,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
108,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
109,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
110,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
111,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
112,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
113,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
114,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
115,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
116,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
117,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
118,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
